"","database.code","tmt.plot.id","tmt.census.id","census.date","census.interval","mean.census.date","census.n","latitude","longitude","plot.area","country","n.actual","n.actual0","d.mean","d.cv","d.max","height.mean","height.cv","height.max","d.mean0","d.max0","d.dead.mean","d.dead.cv","height.mean0","height.max0","height.dead.mean","n.stems","n.stems0","recruits","survivors","survivors0","dead","dead.natural","harvest","biomass0","biomass","biomass.recruits","biomass.survivors","biomass.survivors0","biomass.increment","NPP","NPP2","biomass.dead","biomass.dead.natural","biomass.harvest","ma","ma_natural","ma_harvest","raf","Lann","Pann","Lann.harvest","Lann.natural","Prate","Lrate","ba0","ba","ba.recruits","ba.survivors","ba.survivors0","ba.increment","ba.dead","ba.dead.natural","ba.harvest","Lann.ba","Pann.ba","Lann.ba.harvest","Lann.ba.natural","ba.gini","prop.conifers","ba.conifers","biomass.conifers"
"1","UKR","UKR.1","UKR.1.1",2000,NA,NA,1,48.26923,23.62054,10,"Ukraine",1845,0,438.99512195122,0.622289298895001,895.8,30.7428793183546,0.40687606615945,45.8776308941451,NA,NA,NA,NA,NA,NA,NA,184.5,NA,NA,NA,NA,NA,NA,NA,NA,379.219155293879,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.71440144725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.551803672533562,0,0,0
"2","UKR","UKR.1","UKR.1.2",2005,5,2002.5,2,48.26923,23.62054,10,"Ukraine",1910,1843,422.697905759162,0.668302141722797,903.775,29.6882122485905,0.439192014642493,46.1082908657763,439.196961475855,895.9,502.315789473684,0.532739297779698,30.7511362702505,45.8785459775329,33.7944749581872,191,184.3,16.2,174.8,174.8,9.5,8,0,379.124394517306,382.020256328039,0.735741324595195,381.284515003444,355.327089306622,25.9574256968224,26.6931670214176,5.33863340428353,23.7973052106844,23.0004402611223,0,0.0105286617895469,0.0088362835868695,0,0.0175700082217647,4.8985665393944,5.47773890154104,0,4.73430029239411,0.0144483947241517,0.0129207368616603,38.70189890925,38.7480456445,0.14867118925,38.59937445525,36.29179222325,2.307582232,2.410106686,2.309670547875,0,0.494733169012044,0.503962516062318,0,0.474089860952028,0.581715130846669,0,0,0
"3","UKR","UKR.1","UKR.1.3",2010,5,2007.5,3,48.26923,23.62054,10,"Ukraine",1994,1903,395.331243731194,0.716855058458117,898.35,NA,NA,46.0182397069359,423.319232790331,903.95,514.124137931035,0.639056403373306,29.7118194546467,46.1135668712703,32.6470121612312,199.4,190.3,23.6,175.8,175.8,14.5,14.4,0,381.641635593807,364.55267173869,1.13798168491664,363.414690053773,337.712046707664,25.7026433461092,26.8406250310259,5.36812500620517,43.9295888861437,43.9210206823254,0,0.0157259925228614,0.0156140414272129,0,0.0248784747363624,9.05418433840451,5.6363915673809,0,9.05241307661522,0.0147688067592811,0.0237243096506408,38.700463006875,37.028399347875,0.228076981125,36.80032236675,34.471555751875,2.328766614875,4.228907255,4.227335508375,0,0.869939549895636,0.535526818095633,0,0.86961536322084,0.613960181845129,0,0,0
"4","UKR","UKR.1","UKR.1.4",2015,5,2012.5,4,48.26923,23.62054,10,"Ukraine",2269,1994,362.348171000441,0.776869741041893,909.2,NA,NA,46.0130383542656,395.331243731194,898.35,415.478813559322,0.77080291430186,28.0260676780359,46.0117328213888,28.1358857692532,226.9,199.4,39.3,187.6,187.6,11.8,7.8,0,364.55267173869,369.204509533864,3.44675193812574,365.757757595738,338.97878163982,26.7789759559174,30.2257278940431,6.04514557880863,25.5738900988691,23.9658639376326,0,0.0121260439206723,0.0079488379680378,0,0.0373250576425055,5.29145955200133,6.22182711103633,0,4.9581359235913,0.0170670182757462,0.0145149383400878,37.028399347875,37.49388313325,0.5654963375,36.92838679575,34.48741948325,2.4409673125,2.540979864625,2.3482961785,0,0.525370917552976,0.618467674627942,0,0.485463036029571,0.653932729244068,0,0,0
