ID,N.,Plot ID,Plot ID Fin,Forest type,Date,Village,Khmer Name,E_Name,Species,2025_X,2025_Y,2025_DBH (cm),2025_Bole Height,2025_Top_Height,2025_Living_deadTree
2025_CH3_84,84,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,21.4,7,15.8,2.92,7.19,Living tree
2025_CH1_14,14,CH1,CP3,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,8,13,15.9,2.99,7.77,Living tree
2025_CH3_88,88,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,7.3,13.9,15.9,2.15,7.5,Living tree
2025_CH1_11,11,CH1,CP3,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,10.2,2.2,16,1.9,7.31,Living tree
2025_CH3_82,82,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,14,8,16,1.57,6.56,Living tree
2025_CH1_9,9,CH1,CP3,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,0.3,6.1,16.4,4.25,4.8,Living tree
2025_CH1_17,17,CH1,CP3,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,14.8,4.4,16.4,2.94,7.68,Living tree
2025_CH2_49,49,CH2,CP2,Plantation,2025-01-22,Tapenh,រំដួល,white cheesewood,Melodorum fruticosum,24,13.3,16.4,4.3,9.8,Living tree
2025_CH3_83,83,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,20,2,16.4,2,7.35,Living tree
2025_CH3_85,85,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,26.4,12.8,16.6,3.28,8.04,Living tree
2025_CH3_80,80,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,8,8,16.7,2.09,6.87,Living tree
2025_CH3_89,89,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,5.7,14,17.1,1.45,7.09,Living tree
2025_CH1_19,19,CH1,CP3,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,16,9.3,17.5,1.79,7.1,Living tree
2025_CH2_48,48,CH2,CP2,Plantation,2025-01-22,Tapenh,រំដួល,white cheesewood,Melodorum fruticosum,24,13.3,17.5,1.5,9.8,Living tree
2025_CH2_41,41,CH2,CP2,Plantation,2025-01-22,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,8,5,17.7,1.4,6.82,Living tree
2025_CH2_42,42,CH2,CP2,Plantation,2025-01-22,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,8,5,17.7,1.97,7.39,Living tree
2025_CH2_43,43,CH2,CP2,Plantation,2025-01-22,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,3.2,7,18,2.82,6.59,Living tree
2025_CH3_81,81,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,12,0.3,19,2.7,7.26,Living tree
2025_CH3_86,86,CH3,CP1,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,anacardium occidentale,25.2,13,19.3,2.7,7.27,Living tree
2025_CH1_10,10,CH1,CP3,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,4.85,2,19.7,2,7.71,Living tree
2025_CH1_20,20,CH1,CP3,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,19.8,0.6,20.1,2.85,8.44,Living tree
2025_CH1_18,18,CH1,CP3,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,16,9.3,20.8,1.64,7.39,Living tree
2025_CH1_21,21,CH1,CP3,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,Cashaw,Anacardium occidentale,28.7,5.4,21.3,1.58,8.4,Living tree
2025_CH1_22,22,CH1,CP3,Plantation,21/01/2025,Tapenh,ស្វាយចន្ទី,NA,Anacardium occidentale,2,30.5,31.2,1.5,7.4,Living tree
