PlotId,TreeId,x,y,z,dbh,H,V_t,V_s,H_c,V_c,A_c,V_b,CCI_at_BH,Crown_mean_x,Crown_mean_y,Crown_top_x,Crown_top_y,Crown_top_z,mean_understory_height_in_5m_radius
CP3,1,11.653232050669937,49.19981448696825,-2.268262342808813,0.118,7.575168,0.3889670878188572,0.0370914857349092,4.25099981,8.582244069221856,25.370823728012603,0.35187560208394797,0.6375,11.95055504786759,49.15792745448088,12.52625,50.00175,5.27725,0.88
CP3,2,24.96166519193976,43.17234277465721,-2.213166093835634,0.169,8.689957500000002,2.3604590807221086,0.0844178608523533,5.70000005,56.98577717162582,83.50568201831805,2.2760412198697555,0.5625,25.107230590415824,43.18618998374124,25.89225,41.89575,6.530250000000001,1.0
CP3,3,25.898068090381763,48.89406600057682,-2.306713289838913,0.165,8.894643,0.6534095352984655,0.0819279338725672,3.9769999999999994,11.82319412166723,29.097019094971763,0.5714816014258983,0.625,25.9594102119284,48.85273098322698,25.62225,49.11475,6.569250000000001,0.81
CP3,4,1.8781811215687227,20.719578285049582,-1.887110822762753,0.153,7.856727000000001,0.5010499872062985,0.0640836526939412,4.55100023,23.843734548461807,47.97946982903763,0.4369663345123572,1.0,2.543216892857998,22.188478720740022,3.3342500000000004,21.70375,5.989250000000001,2.29
CP3,5,-0.5503067300669697,10.18129437871242,-1.7678856674614378,0.164,8.219717000000001,0.9740563062562853,0.0761854828326983,4.4040000500000005,22.15845004436735,44.97425764545524,0.8978708234235869,0.525,0.8342647078836006,9.615871476175554,0.1792500000000005,9.270749999999996,6.451250000000001,0.85
CP3,6,9.029284172226165,16.07411899312875,-1.7601536129715294,0.229,7.866974499999999,0.7074691572318087,0.1437013199975323,4.92599988,35.32025194998986,57.7997738780992,0.5637678372342764,0.9375,9.128558510437708,17.060232997933486,10.34925,15.794749999999995,6.13825,1.41
CP3,7,5.363161952266671,11.662684152240065,-1.732150079635681,0.179,7.8555995,1.7976766786068634,0.087704853593014,3.95500016,34.42679412179488,56.879707391368946,1.7099718250138494,0.5125,4.549581014165868,11.627713772331935,4.779250000000001,12.394749999999998,6.10925,2.06
CP3,8,26.810356816823774,45.65321629803181,-2.260745048723217,0.112,8.7749605,1.1418751000653211,0.0373555013278299,5.31499994,34.29955849052924,62.261939418320004,1.1045195987374912,0.6125,27.26524481345666,46.165376640586416,27.28725,48.33575,6.512250000000001,0.81
CP3,9,27.076903282555264,38.53701620055415,-1.9428723327569253,0.227,8.2309065,0.3566694054628511,0.1461117518030454,3.12799979,1.4850643000243593,9.543945645377763,0.2105576536598057,0.575,26.64362226191503,38.451818047317126,26.14725,38.59675,6.185250000000001,1.08
CP3,10,2.4341373206868013,17.77147264740953,-1.8423226285432257,0.119,8.273108,0.8129430022046846,0.0403103205061141,5.302000039999999,25.18519426773788,48.21382386643785,0.7726326816985706,0.7625,2.3359041462569565,18.374759338129348,2.275250000000001,17.58475,6.425250000000001,2.29
