PlotId,TreeId,x,y,z,dbh,H,V_t,V_s,H_c,V_c,A_c,V_b,CCI_at_BH,Crown_mean_x,Crown_mean_y,Crown_top_x,Crown_top_y,Crown_top_z,mean_understory_height_in_5m_radius
CP1,1,8.574767842028965,9.030806831938662,0.0145914298968009,0.272,7.9447005,0.914989442307592,0.2042399444833117,5.0639999,38.5379173851651,61.046688763167936,0.7107494978242803,0.55,8.54941896076415,8.812283859019335,9.587750000000002,8.318249999999999,8.033249999999999,1.7
CP1,2,3.3380883561455734,-0.3306775728137348,-0.0498729993331413,0.113,6.5734995000000005,0.2851140896491396,0.0306662417662249,3.61500001,25.3604117449184,45.90721105675535,0.2544478478829147,0.525,3.424365674491764,-0.9065198204207346,2.7917500000000004,0.6202499999999986,6.51225,1.73
CP1,3,11.324734152451809,12.76540761384678,0.0899103233779707,0.175,7.386977000000001,0.6318060364575316,0.0800716492272781,4.411999939999999,30.784216477402676,51.64001105567616,0.5517343872302536,1.0,11.443720649988386,12.415925265120883,11.51675,11.53525,7.49125,1.18
CP1,4,11.866983943161898,3.081924208652982,0.2699307756640615,0.162,5.7849655,0.2178511199453799,0.0576102733356882,2.76099992,11.418312466205188,28.25881912612193,0.1602408466096916,0.875,11.677668239338814,3.4142939480462107,10.53075,2.451249999999999,5.99825,1.58
CP1,5,14.890145844807837,19.860419505900843,0.1653960533678379,0.169,5.026778500000001,0.2134879088952494,0.0570273471945948,2.05700016,7.321621805391002,20.77154197961548,0.1564605617006546,0.6875,15.02356205536689,19.225183773854425,14.95675,19.29425,5.19325,1.77
CP1,6,8.71820049402084,14.431960368109108,0.0633771980239161,0.164,6.8507575,0.6717751130517918,0.0665461511860471,3.87300014,27.49210245906812,50.68376009677476,0.6052289618657447,0.8,7.889946669764424,13.45203467355501,7.75375,15.60625,6.91825,1.08
CP1,7,6.033664110805481,4.281483539420405,0.0285148662142823,0.127,6.5386665,0.1701018811440302,0.0385885888710646,3.59300018,9.148427489551102,24.9497082198298,0.1315132922729656,0.9625,5.338247701682817,4.5781364554783,5.43275,3.809249999999999,6.55625,1.78
CP1,8,5.797786089493565,9.61877378307971,-0.0561999875602627,0.166,6.583670499999999,0.3915296403247772,0.0662523207944708,3.6099999,10.992826873246711,28.390454556868324,0.3252773195303064,0.8375,5.221450080422224,9.77867285359668,5.050750000000001,10.35025,6.518249999999999,1.64
CP1,9,-0.4606807994496812,24.111467899655565,-0.3305667643898177,0.201,7.919177500000001,0.772457043570455,0.1112608887921134,4.79299975,13.23654960061712,33.628475988694795,0.6611961547783416,0.6,-0.3078818664071151,23.25796506131278,0.2307500000000004,23.89625,7.60025,2.03
CP1,10,5.915104057304561,16.04765680485419,0.0409390270375933,0.188,7.219461499999999,0.6557963574262734,0.0908598461017768,4.24699998,31.7865742739048,53.14591856901091,0.5649365113244966,0.925,6.271591885689956,15.990510803242058,5.619750000000001,15.585249999999998,7.282249999999999,0.9
CP1,11,12.208945221323743,15.38101422701937,0.0978143808349481,0.153,6.6732145,0.234604421643546,0.0568305414662178,3.4890000800000003,20.562890174392667,40.04161035520466,0.1777738801773282,0.9625,12.435568065571951,15.973759260125728,12.03475,14.244249999999996,6.76725,1.37
CP1,12,1.7771610629938022,2.3073493380924512,-0.0664844437942721,0.176,6.6675735000000005,0.3491403694328899,0.0751553672475438,3.69700003,12.872649020324284,31.772898262686248,0.2739850021853461,0.8875,1.9734769199118816,1.5043308622507812,2.70875,0.9792499999999986,6.60825,1.69
CP1,13,13.037924765254251,-0.8643133241651622,0.2482659125533647,0.194,6.9439785,0.4966694104266512,0.0940376004686308,3.9460001,15.446645182427794,33.962537822159064,0.4026318099580204,0.5,12.57278302631753,-0.6913407209010072,12.04275,0.0562499999999985,7.17325,1.34
CP1,14,5.2327752474594025,8.627158079519186,-0.0756289445558936,0.096,6.625755,0.1989075109189269,0.0222593772532372,3.64600015,11.602313419818454,29.04131419473029,0.1766481336656896,0.9,4.693597280941487,8.303607762765933,4.48275,9.130249999999998,6.53525,1.72
CP1,15,1.5956425736516564,2.550886712486909,-0.0699198710937463,0.113,6.0341265,0.1380836762968394,0.0288631629280809,3.05999994,7.294153706286363,21.58951448955155,0.1092205133687585,0.825,1.7922933263343357,3.623324033726409,1.2817500000000006,3.3412499999999987,5.94725,1.7
CP1,16,7.072358076191593,-0.2216379106542272,0.1635897750128055,0.059,7.2645625,0.0482241402015449,0.0089898092898778,4.38400007,12.704381338487602,33.48403224952599,0.0392343309116671,0.55,7.235941689867982,-0.613667459914094,8.29275,-0.0937500000000017,7.431249999999999,1.61
